% Summer nighttime summer neutral atmosphere density at HAARP location
% ---------------------------------------------------------------------------
% Created on 2006-06-13
% MSIS-E-90 Atmosphere Model
% http://modelweb.gsfc.nasa.gov/models/msis.html
% LOCAL TIME IS USED
% ---------------------------------------------------------------------------
% ModelWeb Browser Results
% msis model listing
% Intut parameters
% year= 2000, month= 07, day= 01, hour=2.,
% latitude= 62.39, longitude= 214.85, height= 100.
% Prof. parameters: start= 0. stop= 200. step= 1.
%
% F10.7(daily) used: 165.0
% F10.7(3-month avg) used: 195.7
% ap(daily,0-3,3-6,6-9,9-12,12-33,33-59 h prior) used:
%     6.9     5.0   9.0   4.0   9.0   4.4   7.8
% ---------------------------------------------------------------------------
%                    NUMBER DENSITIES                 TEMPERATURE
%   H/KM     He/cm-3    Ar/cm-3    H/cm-3     N/cm-3     Tn/K
     0.0   1.369E+14  2.440E+17  0.000E+00  0.000E+00   281.3
     1.0   1.224E+14  2.181E+17  0.000E+00  0.000E+00   278.6
     2.0   1.100E+14  1.960E+17  0.000E+00  0.000E+00   274.0
     3.0   9.909E+13  1.766E+17  0.000E+00  0.000E+00   268.0
     4.0   8.934E+13  1.592E+17  0.000E+00  0.000E+00   261.3
     5.0   8.040E+13  1.433E+17  0.000E+00  0.000E+00   254.3
     6.0   7.209E+13  1.285E+17  0.000E+00  0.000E+00   247.5
     7.0   6.432E+13  1.147E+17  0.000E+00  0.000E+00   241.3
     8.0   5.704E+13  1.017E+17  0.000E+00  0.000E+00   235.8
     9.0   5.024E+13  8.955E+16  0.000E+00  0.000E+00   231.3
    10.0   4.392E+13  7.829E+16  0.000E+00  0.000E+00   228.1
    11.0   3.812E+13  6.795E+16  0.000E+00  0.000E+00   226.1
    12.0   3.291E+13  5.865E+16  0.000E+00  0.000E+00   225.3
    13.0   2.830E+13  5.045E+16  0.000E+00  0.000E+00   225.1
    14.0   2.431E+13  4.332E+16  0.000E+00  0.000E+00   225.4
    15.0   2.087E+13  3.719E+16  0.000E+00  0.000E+00   225.7
    16.0   1.793E+13  3.196E+16  0.000E+00  0.000E+00   226.0
    17.0   1.542E+13  2.748E+16  0.000E+00  0.000E+00   226.1
    18.0   1.326E+13  2.364E+16  0.000E+00  0.000E+00   226.1
    19.0   1.141E+13  2.033E+16  0.000E+00  0.000E+00   226.2
    20.0   9.810E+12  1.749E+16  0.000E+00  0.000E+00   226.3
    21.0   8.433E+12  1.503E+16  0.000E+00  0.000E+00   226.6
    22.0   7.247E+12  1.292E+16  0.000E+00  0.000E+00   227.0
    23.0   6.225E+12  1.110E+16  0.000E+00  0.000E+00   227.5
    24.0   5.346E+12  9.529E+15  0.000E+00  0.000E+00   228.3
    25.0   4.589E+12  8.180E+15  0.000E+00  0.000E+00   229.3
    26.0   3.938E+12  7.020E+15  0.000E+00  0.000E+00   230.5
    27.0   3.379E+12  6.024E+15  0.000E+00  0.000E+00   232.0
    28.0   2.899E+12  5.168E+15  0.000E+00  0.000E+00   233.8
    29.0   2.487E+12  4.433E+15  0.000E+00  0.000E+00   235.9
    30.0   2.134E+12  3.803E+15  0.000E+00  0.000E+00   238.4
    31.0   1.831E+12  3.263E+15  0.000E+00  0.000E+00   241.2
    32.0   1.571E+12  2.800E+15  0.000E+00  0.000E+00   244.5
    33.0   1.349E+12  2.404E+15  0.000E+00  0.000E+00   248.3
    34.0   1.161E+12  2.069E+15  0.000E+00  0.000E+00   252.0
    35.0   1.001E+12  1.785E+15  0.000E+00  0.000E+00   255.6
    36.0   8.664E+11  1.544E+15  0.000E+00  0.000E+00   259.0
    37.0   7.515E+11  1.339E+15  0.000E+00  0.000E+00   262.3
    38.0   6.534E+11  1.165E+15  0.000E+00  0.000E+00   265.5
    39.0   5.694E+11  1.015E+15  0.000E+00  0.000E+00   268.4
    40.0   4.974E+11  8.867E+14  0.000E+00  0.000E+00   271.0
    41.0   4.355E+11  7.763E+14  0.000E+00  0.000E+00   273.5
    42.0   3.822E+11  6.812E+14  0.000E+00  0.000E+00   275.6
    43.0   3.360E+11  5.989E+14  0.000E+00  0.000E+00   277.4
    44.0   2.960E+11  5.277E+14  0.000E+00  0.000E+00   279.0
    45.0   2.613E+11  4.657E+14  0.000E+00  0.000E+00   280.1
    46.0   2.310E+11  4.118E+14  0.000E+00  0.000E+00   280.9
    47.0   2.046E+11  3.647E+14  0.000E+00  0.000E+00   281.4
    48.0   1.815E+11  3.235E+14  0.000E+00  0.000E+00   281.4
    49.0   1.612E+11  2.873E+14  0.000E+00  0.000E+00   281.1
    50.0   1.433E+11  2.555E+14  0.000E+00  0.000E+00   280.4
    51.0   1.276E+11  2.274E+14  0.000E+00  0.000E+00   279.4
    52.0   1.137E+11  2.026E+14  0.000E+00  0.000E+00   277.9
    53.0   1.013E+11  1.806E+14  0.000E+00  0.000E+00   276.1
    54.0   9.036E+10  1.611E+14  0.000E+00  0.000E+00   274.0
    55.0   8.061E+10  1.437E+14  0.000E+00  0.000E+00   271.5
    56.0   7.192E+10  1.282E+14  0.000E+00  0.000E+00   268.7
    57.0   6.416E+10  1.144E+14  0.000E+00  0.000E+00   265.6
    58.0   5.720E+10  1.020E+14  0.000E+00  0.000E+00   262.3
    59.0   5.097E+10  9.085E+13  0.000E+00  0.000E+00   258.8
    60.0   4.538E+10  8.088E+13  0.000E+00  0.000E+00   255.1
    61.0   4.035E+10  7.192E+13  0.000E+00  0.000E+00   251.3
    62.0   3.583E+10  6.386E+13  0.000E+00  0.000E+00   247.4
    63.0   3.177E+10  5.662E+13  0.000E+00  0.000E+00   243.4
    64.0   2.813E+10  5.011E+13  0.000E+00  0.000E+00   239.3
    65.0   2.486E+10  4.427E+13  0.000E+00  0.000E+00   235.2
    66.0   2.192E+10  3.902E+13  0.000E+00  0.000E+00   231.2
    67.0   1.928E+10  3.432E+13  0.000E+00  0.000E+00   227.1
    68.0   1.692E+10  3.011E+13  0.000E+00  0.000E+00   223.1
    69.0   1.481E+10  2.635E+13  0.000E+00  0.000E+00   219.1
    70.0   1.293E+10  2.300E+13  0.000E+00  0.000E+00   215.2
    71.0   1.126E+10  2.002E+13  0.000E+00  0.000E+00   211.4
    72.0   9.777E+09  1.737E+13  0.000E+00  0.000E+00   207.6
    73.0   8.451E+09  1.501E+13  4.968E+03  7.701E+04   203.8
    74.0   7.340E+09  1.302E+13  1.736E+04  8.428E+04   198.9
    75.0   6.380E+09  1.131E+13  8.268E+04  9.238E+04   193.1
    76.0   5.536E+09  9.803E+12  4.678E+05  1.012E+05   186.9
    77.0   4.786E+09  8.463E+12  2.560E+06  1.104E+05   180.5
    78.0   4.115E+09  7.264E+12  1.118E+07  1.199E+05   174.1
    79.0   3.514E+09  6.190E+12  3.484E+07  1.294E+05   168.0
    80.0   2.978E+09  5.232E+12  7.641E+07  1.386E+05   162.3
    81.0   2.503E+09  4.382E+12  1.237E+08  1.472E+05   157.2
    82.0   2.086E+09  3.636E+12  1.585E+08  1.550E+05   152.6
    83.0   1.723E+09  2.988E+12  1.719E+08  1.617E+05   148.6
    84.0   1.412E+09  2.432E+12  1.664E+08  1.671E+05   145.4
    85.0   1.148E+09  1.960E+12  1.493E+08  1.713E+05   142.8
    86.0   9.275E+08  1.566E+12  1.275E+08  1.741E+05   141.1
    87.0   7.449E+08  1.240E+12  1.055E+08  1.757E+05   140.1
    88.0   5.956E+08  9.742E+11  8.565E+07  1.761E+05   140.1
    89.0   4.749E+08  7.597E+11  6.882E+07  1.755E+05   141.0
    90.0   3.781E+08  5.885E+11  5.506E+07  1.740E+05   143.2
    91.0   3.011E+08  4.533E+11  4.407E+07  1.719E+05   146.7
    92.0   2.407E+08  3.480E+11  3.543E+07  1.697E+05   151.5
    93.0   1.936E+08  2.670E+11  2.871E+07  1.678E+05   157.7
    94.0   1.571E+08  2.051E+11  2.349E+07  1.664E+05   165.2
    95.0   1.289E+08  1.580E+11  1.943E+07  1.660E+05   173.9
    96.0   1.070E+08  1.223E+11  1.626E+07  1.666E+05   183.9
    97.0   8.998E+07  9.537E+10  1.376E+07  1.685E+05   194.9
    98.0   7.674E+07  7.499E+10  1.178E+07  1.721E+05   206.7
    99.0   6.642E+07  5.959E+10  1.020E+07  1.777E+05   218.7
   100.0   5.840E+07  4.796E+10  8.938E+06  1.859E+05   230.1
   101.0   5.218E+07  3.915E+10  7.929E+06  1.972E+05   240.2
   102.0   4.730E+07  3.238E+10  7.110E+06  2.120E+05   248.6
   103.0   4.341E+07  2.708E+10  6.435E+06  2.305E+05   255.2
   104.0   4.024E+07  2.285E+10  5.867E+06  2.528E+05   260.3
   105.0   3.761E+07  1.940E+10  5.381E+06  2.793E+05   264.0
   106.0   3.538E+07  1.655E+10  4.957E+06  3.100E+05   266.7
   107.0   3.342E+07  1.415E+10  4.580E+06  3.449E+05   268.8
   108.0   3.167E+07  1.210E+10  4.238E+06  3.841E+05   270.8
   109.0   3.003E+07  1.033E+10  3.923E+06  4.273E+05   273.1
   110.0   2.848E+07  8.801E+09  3.627E+06  4.738E+05   276.3
   111.0   2.695E+07  7.468E+09  3.348E+06  5.231E+05   280.8
   112.0   2.546E+07  6.319E+09  3.083E+06  5.751E+05   286.7
   113.0   2.401E+07  5.336E+09  2.834E+06  6.298E+05   293.9
   114.0   2.258E+07  4.502E+09  2.601E+06  6.873E+05   302.5
   115.0   2.119E+07  3.797E+09  2.383E+06  7.477E+05   312.5
   116.0   1.983E+07  3.205E+09  2.181E+06  8.112E+05   323.9
   117.0   1.849E+07  2.710E+09  1.994E+06  8.778E+05   336.6
   118.0   1.718E+07  2.295E+09  1.821E+06  9.479E+05   350.7
   119.0   1.590E+07  1.950E+09  1.662E+06  1.022E+06   366.1
   120.0   1.465E+07  1.662E+09  1.516E+06  1.100E+06   382.6
   121.0   1.345E+07  1.423E+09  1.384E+06  1.183E+06   400.0
   122.0   1.230E+07  1.224E+09  1.264E+06  1.273E+06   418.1
   123.0   1.120E+07  1.058E+09  1.155E+06  1.369E+06   436.8
   124.0   1.018E+07  9.214E+08  1.058E+06  1.476E+06   455.0
   125.0   9.229E+06  8.071E+08  9.708E+05  1.593E+06   472.8
   126.0   8.360E+06  7.109E+08  8.927E+05  1.721E+06   490.1
   127.0   7.571E+06  6.294E+08  8.222E+05  1.861E+06   507.0
   128.0   6.863E+06  5.598E+08  7.586E+05  2.013E+06   523.5
   129.0   6.237E+06  5.000E+08  7.010E+05  2.177E+06   539.5
   130.0   5.689E+06  4.484E+08  6.487E+05  2.354E+06   555.2
   131.0   5.213E+06  4.035E+08  6.012E+05  2.545E+06   570.5
   132.0   4.805E+06  3.643E+08  5.580E+05  2.749E+06   585.4
   133.0   4.456E+06  3.300E+08  5.186E+05  2.968E+06   599.9
   134.0   4.159E+06  2.998E+08  4.826E+05  3.201E+06   614.1
   135.0   3.906E+06  2.730E+08  4.498E+05  3.448E+06   627.9
   136.0   3.692E+06  2.493E+08  4.197E+05  3.711E+06   641.4
   137.0   3.510E+06  2.282E+08  3.922E+05  3.989E+06   654.6
   138.0   3.355E+06  2.093E+08  3.670E+05  4.282E+06   667.4
   139.0   3.221E+06  1.924E+08  3.438E+05  4.591E+06   680.0
   140.0   3.106E+06  1.771E+08  3.225E+05  4.915E+06   692.2
   141.0   3.006E+06  1.634E+08  3.030E+05  5.254E+06   704.1
   142.0   2.919E+06  1.510E+08  2.850E+05  5.608E+06   715.7
   143.0   2.842E+06  1.398E+08  2.684E+05  5.977E+06   727.1
   144.0   2.774E+06  1.296E+08  2.531E+05  6.360E+06   738.1
   145.0   2.712E+06  1.203E+08  2.389E+05  6.757E+06   748.9
   146.0   2.657E+06  1.119E+08  2.259E+05  7.167E+06   759.5
   147.0   2.606E+06  1.042E+08  2.138E+05  7.591E+06   769.7
   148.0   2.560E+06  9.710E+07  2.027E+05  8.026E+06   779.8
   149.0   2.518E+06  9.062E+07  1.924E+05  8.472E+06   789.5
   150.0   2.478E+06  8.466E+07  1.828E+05  8.929E+06   799.1
   151.0   2.441E+06  7.918E+07  1.739E+05  9.396E+06   808.4
   152.0   2.406E+06  7.414E+07  1.657E+05  9.871E+06   817.4
   153.0   2.374E+06  6.948E+07  1.580E+05  1.035E+07   826.3
   154.0   2.343E+06  6.517E+07  1.509E+05  1.084E+07   834.9
   155.0   2.313E+06  6.119E+07  1.443E+05  1.134E+07   843.4
   156.0   2.285E+06  5.750E+07  1.381E+05  1.184E+07   851.6
   157.0   2.259E+06  5.408E+07  1.323E+05  1.234E+07   859.6
   158.0   2.233E+06  5.090E+07  1.270E+05  1.284E+07   867.4
   159.0   2.208E+06  4.794E+07  1.220E+05  1.334E+07   875.1
   160.0   2.185E+06  4.519E+07  1.173E+05  1.385E+07   882.5
   161.0   2.162E+06  4.262E+07  1.129E+05  1.435E+07   889.8
   162.0   2.140E+06  4.023E+07  1.088E+05  1.485E+07   896.9
   163.0   2.118E+06  3.800E+07  1.050E+05  1.534E+07   903.8
   164.0   2.098E+06  3.591E+07  1.014E+05  1.583E+07   910.5
   165.0   2.078E+06  3.396E+07  9.804E+04  1.631E+07   917.1
   166.0   2.058E+06  3.213E+07  9.488E+04  1.679E+07   923.5
   167.0   2.040E+06  3.042E+07  9.192E+04  1.725E+07   929.8
   168.0   2.021E+06  2.881E+07  8.913E+04  1.771E+07   935.9
   169.0   2.004E+06  2.730E+07  8.651E+04  1.815E+07   941.9
   170.0   1.986E+06  2.589E+07  8.405E+04  1.858E+07   947.7
   171.0   1.970E+06  2.455E+07  8.172E+04  1.900E+07   953.4
   172.0   1.953E+06  2.330E+07  7.954E+04  1.941E+07   958.9
   173.0   1.937E+06  2.212E+07  7.747E+04  1.980E+07   964.4
   174.0   1.922E+06  2.101E+07  7.553E+04  2.018E+07   969.6
   175.0   1.907E+06  1.997E+07  7.369E+04  2.054E+07   974.8
   176.0   1.892E+06  1.898E+07  7.196E+04  2.089E+07   979.8
   177.0   1.877E+06  1.805E+07  7.032E+04  2.122E+07   984.7
