% Input parameters
% year= 2007., month= 04, day= 01, hour=0.01,
% latitude= 46.4, longitude= 261.7, height= 100.
% Prof. parameters: start= 60. stop= 150. step= 1.
% 
% URSI maps are used for the F2 peak density (NmF2)
% CCIR maps are used for the F2 peak height (hmF2)
% B0-Table option is used for the bottomside thickness parameter B0
% Danilov- option is used for the ion composition
% The foF2 STORM model is turned on 
% IRI-95    option is used for the electron temperature
% IRI-95   option is used for the D-region Ne
% Scotto-97 no L   option is used for the F1 occurrence probability
% Peak Densities/cm-3: NmF2=  55940.0   NmF1=      0.0   NmE=   1713.8
% Peak Heights/km:     hmF2=   308.94   hmF1=     0.00   hmE=   110.00
%
% Local time=0.00
%
% Solar Zenith Angle/degree                             125.5
% Dip (Magnetic Inclination)/degree                     73.83
% Modip (Modified Dip)/degree                           57.20
% Solar Sunspot Number (12-months running mean) Rz12     10.5
% Ionospheric-Effective Solar Index IG12                  6.0
%
%-
%   H   ELECTRON DENSITY   TEMPERATURES         ION PERCENTAGES/%     1E16m-2
%   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
  60.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  61.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  62.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  63.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  64.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  65.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  66.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  67.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  68.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  69.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  70.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  71.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  72.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  73.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  74.0      -1 -1.000    -1    -1    -1  -1  -1  -1  -1  -1  -1  -1  -1.0  -1
  75.0      -1 -1.000    -1    -1    -1   0   0   0   0   3   3  94  -1.0  -1
  76.0      -1 -1.000    -1    -1    -1   0   0   0   0   4   5  91  -1.0  -1
