% Winter daytime atmosphere density at Gamma Ray burst location, part 2
% ---------------------------------------------------------------------------
% Created on 2006-11-02
% MSIS-E-90 Atmosphere Model
% http://modelweb.gsfc.nasa.gov/models/msis.html
% UT IS USED
% ---------------------------------------------------------------------------
% Intut parameters
% year= 2004, month= 12, day= 27, hour=21.5,
% latitude= -20.4, longitude= 213.8, height= 100.
% Prof. parameters: start= 0. stop= 200. step= 1.
%
% F10.7(daily) used:  88.7
% F10.7(3-month avg) used:  96.7
% ap(daily,0-3,3-6,6-9,9-12,12-33,33-59 h prior) used:
%     8.1    12.0  12.0   4.0   4.0  10.1   8.4
% ---------------------------------------------------------------------------
%                     NUMBER DENSITIES                 TEMPERATURE
%    H/KM     He/cm-3    Ar/cm-3    H/cm-3     N/cm-3     Tn/K
     0.0   1.287E+14  2.293E+17  0.000E+00  0.000E+00   299.0
     1.0   1.171E+14  2.087E+17  0.000E+00  0.000E+00   292.8
     2.0   1.061E+14  1.891E+17  0.000E+00  0.000E+00   287.3
     3.0   9.588E+13  1.709E+17  0.000E+00  0.000E+00   282.1
     4.0   8.646E+13  1.541E+17  0.000E+00  0.000E+00   277.0
     5.0   7.786E+13  1.388E+17  0.000E+00  0.000E+00   271.7
     6.0   7.007E+13  1.249E+17  0.000E+00  0.000E+00   266.0
     7.0   6.304E+13  1.124E+17  0.000E+00  0.000E+00   259.8
     8.0   5.671E+13  1.011E+17  0.000E+00  0.000E+00   252.9
     9.0   5.102E+13  9.093E+16  0.000E+00  0.000E+00   245.3
    10.0   4.587E+13  8.177E+16  0.000E+00  0.000E+00   237.0
    11.0   4.119E+13  7.341E+16  0.000E+00  0.000E+00   228.1
    12.0   3.678E+13  6.555E+16  0.000E+00  0.000E+00   219.4
    13.0   3.254E+13  5.800E+16  0.000E+00  0.000E+00   211.9
    14.0   2.846E+13  5.072E+16  0.000E+00  0.000E+00   205.9
    15.0   2.455E+13  4.376E+16  0.000E+00  0.000E+00   202.1
    16.0   2.090E+13  3.726E+16  0.000E+00  0.000E+00   200.5
    17.0   1.762E+13  3.141E+16  0.000E+00  0.000E+00   200.9
    18.0   1.477E+13  2.633E+16  0.000E+00  0.000E+00   202.6
    19.0   1.235E+13  2.202E+16  0.000E+00  0.000E+00   205.1
    20.0   1.034E+13  1.844E+16  0.000E+00  0.000E+00   207.9
    21.0   8.688E+12  1.549E+16  0.000E+00  0.000E+00   210.6
    22.0   7.322E+12  1.305E+16  0.000E+00  0.000E+00   212.9
    23.0   6.189E+12  1.103E+16  0.000E+00  0.000E+00   215.1
    24.0   5.243E+12  9.346E+15  0.000E+00  0.000E+00   217.1
    25.0   4.452E+12  7.935E+15  0.000E+00  0.000E+00   219.0
    26.0   3.786E+12  6.749E+15  0.000E+00  0.000E+00   220.8
    27.0   3.225E+12  5.748E+15  0.000E+00  0.000E+00   222.5
    28.0   2.750E+12  4.901E+15  0.000E+00  0.000E+00   224.4
    29.0   2.347E+12  4.183E+15  0.000E+00  0.000E+00   226.3
    30.0   2.004E+12  3.572E+15  0.000E+00  0.000E+00   228.4
    31.0   1.712E+12  3.052E+15  0.000E+00  0.000E+00   230.8
    32.0   1.464E+12  2.609E+15  0.000E+00  0.000E+00   233.5
    33.0   1.252E+12  2.231E+15  0.000E+00  0.000E+00   236.5
    34.0   1.072E+12  1.911E+15  0.000E+00  0.000E+00   239.6
    35.0   9.204E+11  1.640E+15  0.000E+00  0.000E+00   242.7
    36.0   7.917E+11  1.411E+15  0.000E+00  0.000E+00   245.8
    37.0   6.826E+11  1.217E+15  0.000E+00  0.000E+00   248.8
